timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1761834180,100,0,0,141,195,2,0,0,6,1,0,0,10000000,149,195,2,0,0,6,1,0,0,10000000,38397,1004709,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28347,T,CORE-R6,5,3,1,1
1761834240,100,0,0,139,189,2,0,0,6,1,0,0,10000000,147,181,2,0,0,6,1,0,0,10000000,37875,1025307,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28408,T,CORE-R6,5,3,1,1
1761834300,100,0,0,136,184,2,0,0,6,1,0,0,10000000,144,168,2,0,0,6,1,0,0,10000000,37352,1045904,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28474,T,CORE-R6,5,3,1,1
1761834360,100,0,0,133,178,2,0,0,6,1,0,0,10000000,139,173,2,0,0,6,1,0,0,10000000,37293,1041443,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28528,H,CORE-R6,5,3,1,1
1761834420,100,0,0,131,172,2,0,0,6,1,0,0,10000000,133,179,2,0,0,6,1,0,0,10000000,37235,1036981,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28587,T,CORE-R6,5,3,1,1
1761834480,100,0,0,128,166,2,0,0,6,1,0,0,10000000,128,184,2,0,0,6,1,0,0,10000000,37176,1032520,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28663,T,CORE-R6,5,3,1,1
1761834540,100,0,0,125,160,2,0,0,6,1,0,0,10000000,125,176,2,0,0,6,1,0,0,10000000,37696,1049907,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28708,T,CORE-R6,5,3,1,1
1761834600,100,0,0,123,168,2,0,0,6,1,0,0,10000000,123,168,2,0,0,6,1,0,0,10000000,38216,1067293,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28768,T,CORE-R6,5,3,1,1
1761834660,100,0,0,120,176,2,0,0,6,1,0,0,10000000,120,160,2,0,0,6,1,0,0,10000000,38736,1084680,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28871,T,CORE-R6,5,3,1,1
1761834720,100,0,0,120,173,2,0,0,6,1,0,0,10000000,120,163,2,0,0,6,1,0,0,10000000,38283,1069469,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28922,H,CORE-R6,5,3,1,1
1761834780,100,0,0,120,171,2,0,0,6,1,0,0,10000000,120,165,2,0,0,6,1,0,0,10000000,37829,1054259,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28922,T,CORE-R6,5,3,1,1
1761834840,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,37376,1039048,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29023,T,CORE-R6,5,3,1,1
